INFO 2019-05-26 20:49:10,781 basehttp 154 "GET / HTTP/1.1" 200 16877
WARNING 2019-05-26 20:49:10,803 log 228 Not Found: /css/base/common.css
WARNING 2019-05-26 20:49:10,809 log 228 Not Found: /css/base/reset.css
WARNING 2019-05-26 20:49:10,813 log 228 Not Found: /css/news/index.css
WARNING 2019-05-26 20:49:10,820 basehttp 154 "GET /css/base/reset.css HTTP/1.1" 404 2048
WARNING 2019-05-26 20:49:10,821 basehttp 154 "GET /css/news/index.css HTTP/1.1" 404 2048
WARNING 2019-05-26 20:49:10,825 log 228 Not Found: /css/base/side.css
WARNING 2019-05-26 20:49:10,830 log 228 Not Found: /js/commons.js
WARNING 2019-05-26 20:49:10,843 log 228 Not Found: /images/youxi.png
WARNING 2019-05-26 20:49:10,845 basehttp 154 "GET /css/base/side.css HTTP/1.1" 404 2045
WARNING 2019-05-26 20:49:10,847 basehttp 154 "GET /css/base/common.css HTTP/1.1" 404 2051
WARNING 2019-05-26 20:49:10,853 log 228 Not Found: /js/index.js
WARNING 2019-05-26 20:49:10,853 basehttp 154 "GET /js/commons.js HTTP/1.1" 404 2033
WARNING 2019-05-26 20:49:10,860 log 228 Not Found: /images/ui.png
WARNING 2019-05-26 20:49:10,865 log 228 Not Found: /images/zimeiti.png
WARNING 2019-05-26 20:49:10,882 basehttp 154 "GET /images/zimeiti.png HTTP/1.1" 404 2048
WARNING 2019-05-26 20:49:10,874 log 228 Not Found: /images/dianshang.png
WARNING 2019-05-26 20:49:10,879 log 228 Not Found: /images/python_gui.jpg
WARNING 2019-05-26 20:49:10,880 basehttp 154 "GET /images/ui.png HTTP/1.1" 404 2033
WARNING 2019-05-26 20:49:10,880 basehttp 154 "GET /js/index.js HTTP/1.1" 404 2027
WARNING 2019-05-26 20:49:10,866 basehttp 154 "GET /images/youxi.png HTTP/1.1" 404 2042
WARNING 2019-05-26 20:49:10,886 basehttp 154 "GET /images/python_gui.jpg HTTP/1.1" 404 2057
WARNING 2019-05-26 20:49:10,899 log 228 Not Found: /images/linux.jpg
WARNING 2019-05-26 20:49:10,899 basehttp 154 "GET /images/dianshang.png HTTP/1.1" 404 2054
WARNING 2019-05-26 20:49:10,904 log 228 Not Found: /images/python_advanced.jpg
WARNING 2019-05-26 20:49:10,912 log 228 Not Found: /images/jichujiaochen.jpeg
WARNING 2019-05-26 20:49:10,914 log 228 Not Found: /images/python_web.jpg
WARNING 2019-05-26 20:49:10,915 basehttp 154 "GET /images/linux.jpg HTTP/1.1" 404 2042
WARNING 2019-05-26 20:49:10,921 log 228 Not Found: /images/english.jpg
WARNING 2019-05-26 20:49:10,926 basehttp 154 "GET /images/python_web.jpg HTTP/1.1" 404 2057
WARNING 2019-05-26 20:49:10,927 basehttp 154 "GET /images/jichujiaochen.jpeg HTTP/1.1" 404 2069
WARNING 2019-05-26 20:49:10,929 basehttp 154 "GET /images/english.jpg HTTP/1.1" 404 2048
WARNING 2019-05-26 20:49:10,929 basehttp 154 "GET /images/python_advanced.jpg HTTP/1.1" 404 2072
WARNING 2019-05-26 20:56:55,554 log 228 Not Found: /css/base/reset.css
WARNING 2019-05-26 20:56:55,558 basehttp 154 "GET /css/base/reset.css HTTP/1.1" 404 2048
WARNING 2019-05-26 20:56:55,564 log 228 Not Found: /css/news/index.css
WARNING 2019-05-26 20:56:55,565 basehttp 154 "GET /css/news/index.css HTTP/1.1" 404 2048
WARNING 2019-05-26 20:56:55,571 log 228 Not Found: /css/base/common.css
WARNING 2019-05-26 20:56:55,575 basehttp 154 "GET /css/base/common.css HTTP/1.1" 404 2051
WARNING 2019-05-26 20:56:55,581 log 228 Not Found: /css/base/side.css
WARNING 2019-05-26 20:56:55,583 basehttp 154 "GET /css/base/side.css HTTP/1.1" 404 2045
INFO 2019-05-26 21:02:46,203 basehttp 154 "GET / HTTP/1.1" 200 16877
WARNING 2019-05-26 21:02:46,250 log 228 Not Found: /css/base/reset.css
WARNING 2019-05-26 21:02:46,262 log 228 Not Found: /css/base/common.css
WARNING 2019-05-26 21:02:46,268 log 228 Not Found: /css/news/index.css
WARNING 2019-05-26 21:02:46,272 basehttp 154 "GET /css/base/reset.css HTTP/1.1" 404 2048
WARNING 2019-05-26 21:02:46,277 basehttp 154 "GET /css/news/index.css HTTP/1.1" 404 2048
WARNING 2019-05-26 21:02:46,282 log 228 Not Found: /css/base/side.css
WARNING 2019-05-26 21:02:46,288 log 228 Not Found: /js/commons.js
WARNING 2019-05-26 21:02:46,302 log 228 Not Found: /js/index.js
WARNING 2019-05-26 21:02:46,307 log 228 Not Found: /images/ui.png
WARNING 2019-05-26 21:02:46,312 log 228 Not Found: /images/youxi.png
WARNING 2019-05-26 21:02:46,314 basehttp 154 "GET /css/base/side.css HTTP/1.1" 404 2045
WARNING 2019-05-26 21:02:46,314 basehttp 154 "GET /js/commons.js HTTP/1.1" 404 2033
WARNING 2019-05-26 21:02:46,316 basehttp 154 "GET /js/index.js HTTP/1.1" 404 2027
WARNING 2019-05-26 21:02:46,313 basehttp 154 "GET /css/base/common.css HTTP/1.1" 404 2051
WARNING 2019-05-26 21:02:46,320 basehttp 154 "GET /images/ui.png HTTP/1.1" 404 2033
WARNING 2019-05-26 21:02:46,327 log 228 Not Found: /images/python_gui.jpg
WARNING 2019-05-26 21:02:46,340 log 228 Not Found: /images/python_advanced.jpg
WARNING 2019-05-26 21:02:46,336 log 228 Not Found: /images/zimeiti.png
WARNING 2019-05-26 21:02:46,356 log 228 Not Found: /images/dianshang.png
WARNING 2019-05-26 21:02:46,357 basehttp 154 "GET /images/youxi.png HTTP/1.1" 404 2042
WARNING 2019-05-26 21:02:46,359 log 228 Not Found: /images/linux.jpg
WARNING 2019-05-26 21:02:46,360 basehttp 154 "GET /images/python_advanced.jpg HTTP/1.1" 404 2072
WARNING 2019-05-26 21:02:46,364 basehttp 154 "GET /images/zimeiti.png HTTP/1.1" 404 2048
WARNING 2019-05-26 21:02:46,366 basehttp 154 "GET /images/python_gui.jpg HTTP/1.1" 404 2057
WARNING 2019-05-26 21:02:46,366 basehttp 154 "GET /images/dianshang.png HTTP/1.1" 404 2054
WARNING 2019-05-26 21:02:46,378 log 228 Not Found: /images/jichujiaochen.jpeg
WARNING 2019-05-26 21:02:46,393 log 228 Not Found: /images/python_web.jpg
WARNING 2019-05-26 21:02:46,399 basehttp 154 "GET /images/linux.jpg HTTP/1.1" 404 2042
WARNING 2019-05-26 21:02:46,400 log 228 Not Found: /images/english.jpg
WARNING 2019-05-26 21:02:46,403 basehttp 154 "GET /images/jichujiaochen.jpeg HTTP/1.1" 404 2069
WARNING 2019-05-26 21:02:46,404 basehttp 154 "GET /images/python_web.jpg HTTP/1.1" 404 2057
WARNING 2019-05-26 21:02:46,406 basehttp 154 "GET /images/english.jpg HTTP/1.1" 404 2048
WARNING 2019-05-26 21:02:46,492 log 228 Not Found: /js/commons.js
